Colombia,Venezuela,Mexico,Argentina
-213.25,38.94,35,0.8
457.81,208.16,68.02,0.58
46.71,8.69,2.99,0.39
1198.97,195.99,3.99,0.58
30.94,21.78,5.94,0.5
4.43,6.64,4.95,0.37
-54.04,7.3,7.72,0.38
127.7,42.76,6.22,0.78
-695.26,138.14,35,0.45
-226.36,4.98,8.33,0.38
-166.85,4.28,6.18,0.4
-14.33,3.95,2,0.53
134.72,21.78,5.94,0.5
114.46,47.98,3.61,0.71
-4.72,5.28,2.99,0.37
782.91,39.89,3.04,0.53
93.8,15.74,1.39,0.4
440.72,100.98,26.22,0.6
-481.04,71.37,69,0.68
-11.68,65.99,5.26,0.59
313.58,155.99,8.99,0.58
26.92,3.69,0.5,0.38
-5.77,4.71,0.7,0.8
-172.88,15.99,13.18,0.37
-144.55,4.89,4.93,0.66
5.76,2.88,0.7,0.56
4.9,2.84,0.93,0.54
-547.61,449.99,49,0.38
-5.45,13.48,4.51,0.59
41.67,6.08,1.17,0.56
-46.03,5.98,4.38,0.75
33.67,40.99,19.99,0.36
140.01,7.31,0.49,0.38
-78.96,20.99,2.5,0.81
252.66,40.96,1.99,0.55
-1766.01,95.95,74.35,0.57
-236.27,3.89,7.01,0.37
80.44,120.98,30,0.64
118.94,30.98,5.76,0.4
3424.22,500.98,26,0.6
-11.83,7.84,4.71,0.35
52.35,18.97,9.03,0.37
-180.2,115.99,2.5,0.57
1.32,2.88,0.5,0.36
-375.64,4.48,49,0.6
-104.25,125.99,7.69,0.58
85.96,3.75,0.5,0.37
-8.38,12.28,6.47,0.38
1115.69,155.99,8.99,0.58
-3.05,8.69,2.99,0.39
514.07,31.78,1.99,0.42
-7.04,3.98,2.97,0.35
4.41,5.88,3.04,0.36
-0.06,9.65,6.22,0.55
-50.33,7.99,5.03,0.6
87.68,58.1,1.49,0.38
-68.22,80.48,4.5,0.55
-354.9,92.23,39.61,0.67
-267.01,85.99,0.99,0.85
3.63,11.48,5.43,0.36
-1759.58,1637.53,24.49,0.81
-116.79,6.48,6.65,0.36
-67.28,6.48,7.86,0.37
-19.33,28.15,8.99,0.57
-61.21,4.98,4.75,0.36
119.09,6.35,1.02,0.39
-141.27,10.9,7.46,0.59
-77.28,7.3,7.72,0.38
407.44,39.48,1.99,0.54
-338.27,100.98,57.38,0.78
52.56,19.98,10.49,0.49
1902.24,276.2,24.49,0.6
353.2,15.67,1.39,0.38
271.78,25.98,5.37,0.5
-268.36,300.98,64.73,0.56
70.39,19.98,5.97,0.38
-86.62,6.48,7.03,0.37
-846.73,80.98,35,0.81
8.05,1.88,1.49,0.37
-78.02,6.48,5.86,0.36
737.94,102.3,21.26,0.59
-191.28,6.48,8.19,0.37
-21.49,1.89,0.76,0.83
884.08,62.05,3.99,0.55
-329.49,279.48,35,0.8
2825.15,320.98,58.95,0.57
2.13,18.97,5.21,0.37
707.15,48.91,5.81,0.38
75.13,4.13,0.5,0.39
-270.63,140.98,53.48,0.65
3387.35,218.08,18.06,0.57
-82.16,50.98,6.5,0.73
-3.88,10.14,2.27,0.36
-191.22,15.99,13.18,0.37
31.21,262.11,62.74,0.75
-44.14,33.98,19.99,0.55
-0.79,1.76,0.7,0.56
76.42,19.84,4.1,0.44
93.36,19.98,5.77,0.38
4.22,95.99,8.99,0.57
395.12,111.03,8.64,0.78
79.59,43.41,2.99,0.39
399.37,105.34,24.49,0.61
37.79,3.69,0.5,0.38
